donor,cell_size,total_intensity,class
6,438.0,50245.0,activated
6,575.0,75197.0,activated
6,243.0,43579.0,activated
6,222.0,25973.0,activated
6,221.0,22466.0,activated
6,213.0,32385.0,activated
6,161.0,32794.0,activated
6,151.0,13547.0,activated
6,432.0,56697.0,activated
6,231.0,24834.0,activated
6,1025.0,92176.0,activated
6,666.0,80803.0,activated
6,655.0,59005.0,activated
6,857.0,55389.0,activated
6,1005.0,183547.0,activated
6,278.0,9843.0,quiescent
6,273.0,15320.0,quiescent
6,298.0,15534.0,quiescent
6,244.0,14401.0,quiescent
6,226.0,13757.0,quiescent
6,186.0,7922.0,quiescent
6,254.0,14399.0,quiescent
6,168.0,10463.0,quiescent
6,244.0,13613.0,quiescent
6,299.0,50378.0,quiescent
6,258.0,19776.0,quiescent
6,224.0,10670.0,quiescent
6,107.0,4279.0,quiescent
6,201.0,12071.0,quiescent
6,186.0,5746.0,quiescent
6,228.0,20079.0,quiescent
6,167.0,13866.0,quiescent
6,260.0,31424.0,quiescent
6,235.0,9178.0,quiescent
6,312.0,41959.0,quiescent
6,361.0,22774.0,quiescent
6,185.0,14073.0,quiescent
6,259.0,16067.0,quiescent
6,249.0,11416.0,quiescent
6,205.0,12936.0,quiescent
6,120.0,11330.0,quiescent
6,188.0,12230.0,quiescent
6,206.0,15492.0,quiescent
6,94.0,32189.0,quiescent
6,176.0,11403.0,quiescent
6,188.0,12167.0,quiescent
6,87.0,4643.0,quiescent
6,207.0,9836.0,quiescent
6,270.0,13997.0,quiescent
6,168.0,8796.0,quiescent
6,222.0,11804.0,quiescent
6,227.0,20412.0,quiescent
6,217.0,9271.0,quiescent
6,162.0,8336.0,quiescent
6,169.0,9304.0,quiescent
6,220.0,7099.0,quiescent
6,167.0,7727.0,quiescent
6,279.0,15298.0,quiescent
6,234.0,9459.0,quiescent
6,136.0,4533.0,quiescent
6,233.0,17186.0,quiescent
6,394.0,31665.0,quiescent
6,220.0,15648.0,quiescent
6,254.0,9697.0,quiescent
6,356.0,15498.0,quiescent
6,219.0,12408.0,quiescent
6,144.0,9287.0,quiescent
6,247.0,11841.0,quiescent
6,205.0,10414.0,quiescent
6,141.0,12323.0,quiescent
6,205.0,10152.0,quiescent
6,171.0,10110.0,quiescent
6,73.0,7234.0,quiescent
